state,public_ports_per_100k,evs_per_1000,context_profile
Louisiana,18.999730855366135,1.7819080146286996,Lower-income pressured
Mississippi,23.6079314485541,1.2212172031744843,Lower-income pressured
Kentucky,26.49048176442958,2.566638254023173,Lower-income pressured
Alaska,28.360826063599156,3.677362879496486,Mixed sparse
Indiana,31.709951868198516,3.8035912394846028,Lower-income pressured
West Virginia,32.03261338104517,1.5581295891520737,Lower-income pressured
North Dakota,34.18690029416042,1.2233297530634268,Mixed sparse
Alabama,34.55047579822366,2.553994661413167,Lower-income pressured
Idaho,36.13735452169921,4.326811982943169,Mixed sparse
Arkansas,36.34606934373667,2.317021173948702,Lower-income pressured
