context_profile,ev_adoption_level,charging_access_level,probability
Lower income pressured,Low,Low,0.8181818181818182
Lower income pressured,Low,Middle,0.09090909090909091
Lower income pressured,Low,High,0.09090909090909091
Lower income pressured,Middle,Low,0.2
Lower income pressured,Middle,Middle,0.7
Lower income pressured,Middle,High,0.1
Lower income pressured,High,Low,0.25
Lower income pressured,High,Middle,0.5
Lower income pressured,High,High,0.25
Mixed sparse,Low,Low,0.5833333333333334
Mixed sparse,Low,Middle,0.3333333333333333
Mixed sparse,Low,High,0.08333333333333333
Mixed sparse,Middle,Low,0.25
Mixed sparse,Middle,Middle,0.3333333333333333
Mixed sparse,Middle,High,0.4166666666666667
Mixed sparse,High,Low,0.1
Mixed sparse,High,Middle,0.3
Mixed sparse,High,High,0.6
Affluent dense,Low,Low,0.3333333333333333
Affluent dense,Low,Middle,0.3333333333333333
Affluent dense,Low,High,0.3333333333333333
Affluent dense,Middle,Low,0.25
Affluent dense,Middle,Middle,0.5
Affluent dense,Middle,High,0.25
Affluent dense,High,Low,0.08333333333333333
Affluent dense,High,Middle,0.16666666666666666
Affluent dense,High,High,0.75
