state,state_abbr,region,population_2023,land_area_sqmi,median_household_income,poverty_rate,population_density,ev_registrations_2023,public_ports,private_ports,total_ports,evs_per_1000,public_ports_per_100k,income_level,poverty_level,density_level,ev_adoption_level,charging_access_level,context_profile
Alabama,AL,South,5108468,50651.04426482531,62248,15.7,100.85612397822928,13047,1765,469,2234,2.553994661413167,34.55047579822366,Low,High,Middle,Low,Low,Lower income pressured
Alaska,AK,West,733406,571251.1432340358,88696,10.5,1.2838591374153818,2697,208,15,223,3.677362879496486,28.360826063599156,High,Low,Low,Low,Low,Mixed sparse
Arizona,AZ,West,7431344,113655.4027534944,77158,12.6,65.38487234186074,89798,4734,371,5105,12.08368230565023,63.70314710232765,Middle,Middle,Middle,High,Middle,Mixed sparse
Arkansas,AR,South,3067732,51991.95460419727,58748,15.4,59.00397519873862,7108,1115,51,1166,2.317021173948702,36.34606934373667,Low,High,Low,Low,Low,Lower income pressured
California,CA,West,38965193,155859.63366319513,95473,12.0,250.00182590061667,1256646,65977,10938,76915,32.25047544355805,169.32291340119886,High,Middle,High,High,High,Affluent dense
Colorado,CO,West,5877610,103637.17229349671,92790,9.4,56.713338177105236,90083,7640,871,8511,15.326467730931451,129.98480674968226,High,Low,Low,High,High,Affluent dense
Connecticut,CT,Northeast,3617176,4842.498504509706,91477,10.2,746.9648150910956,31557,4889,530,5419,8.724209162064549,135.16068889100225,High,Low,High,High,High,Mixed sparse
Delaware,DE,South,1031890,1948.5387638884918,81615,10.8,529.5711941294751,8435,733,39,772,8.174320906298151,71.03470331139947,High,Middle,High,Middle,High,Mixed sparse
District of Columbia,DC,South,678972,61.12621883019439,104643,15.2,11107.704893151507,8066,1100,284,1384,11.879724053421938,162.0096263174328,High,High,High,High,High,Affluent dense
Florida,FL,South,22610726,53656.82063805741,73283,12.4,421.39518762248076,254878,15205,1457,16662,11.272437691739752,67.24684559000892,Middle,Middle,High,High,Middle,Lower income pressured
Georgia,GA,South,11029227,57717.00657367384,74521,13.7,191.09145908184894,92368,7588,1012,8600,8.374838961968958,68.79901918783611,Middle,High,Middle,High,High,Mixed sparse
Hawaii,HI,West,1435138,6422.586978533276,96716,10.2,223.4517033084606,25565,1030,161,1191,17.813617923851226,71.7701015512097,High,Low,High,High,High,Affluent dense
Idaho,ID,West,1964726,82645.37853698144,74859,10.1,23.772968734372018,8501,710,99,809,4.326811982943169,36.13735452169921,Middle,Low,Low,Middle,Low,Mixed sparse
Illinois,IL,Midwest,12549689,55513.28035685366,80346,11.6,226.06642805698687,99573,5949,636,6585,7.934300204570807,47.40356514014013,Middle,Middle,High,Middle,Middle,Mixed sparse
Indiana,IN,Midwest,6862199,35825.150029342316,69458,12.2,191.5469717329744,26101,2176,377,2553,3.8035912394846028,31.709951868198516,Low,Middle,High,Low,Low,Lower income pressured
Iowa,IA,Midwest,3207004,55853.68202529438,71662,11.1,57.41795139929447,9031,1288,63,1351,2.8160239276284034,40.16209521410014,Middle,Middle,Low,Low,Low,Mixed sparse
Kansas,KS,Midwest,2940546,81758.77670362318,70316,11.2,35.96612031830569,11271,1390,209,1599,3.83296163365579,47.27013282567251,Low,Middle,Low,Low,Middle,Mixed sparse
