state,public_ports_per_100k,evs_per_1000,context_profile
Vermont,223.95067524989807,12.071713639677263,Mixed sparse
California,169.32291340119886,32.25047544355805,Affluent dense
Massachusetts,162.56750972198557,10.536179983457592,Affluent dense
District of Columbia,162.0096263174328,11.879724053421938,Affluent dense
Connecticut,135.16068889100225,8.724209162064549,Mixed sparse
Colorado,129.98480674968226,15.326467730931451,Affluent dense
Maine,117.35861439455708,5.285436498099191,Mixed sparse
Washington,112.90330838308026,19.467981077400395,Affluent dense
New York,108.38365894076281,6.706277218543804,Mixed sparse
Oregon,101.43247984224344,15.203297240630251,Mixed sparse
